name,location,category,tags
성재이시영선생동상,중구,1.0,#관광지#독립#동상#성재이시영동상#신흥무관학교#아이와함께#역사
한국유림독립운동파리장서비,중구,1.0,#관광지#독립운동#역사#역사공부#역사관광지#역사를품은곳#역사문화재
일성이준열사동상,중구,1.0,#3·1운동_100주년_여행지추천#관광지#독립#독립운동#애국계몽#역사
이원등 상사상,용산구,1.0,#가족과함께#관광지#동상#아이와함께#애국심#애국정신#애국지사
고당조만식선생동상,광진구,1.0,#관광지#독립#독립운동#역사#역사공부#역사관광지#역사를품은곳
호국무공수훈자공적비,성동구,1.0,#관광지#수도권#역사#역사공부#역사관광지#역사문화재#역사속#역사속으로
서울학도병참전기념비,용산구,1.0,#관광지#애국심#애국정신#애국지사#역사#역사공부#역사관광지#역사를품은곳
의열사(용산),용산구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속
이탈리아의무부대 6.25전쟁 참전기념비,영등포구,1.0,#관광지#국가보훈처#기념비#역사#역사공부#역사관광지#역사를품은곳
3.1독립운동기념탑,중구,1.0,#3.1독립운동기념탑#3.1운동#3·1운동_100주년_여행지추천#관광지
우남이승만박사 동상,강동구,1.0,#관광지#대통령#동상#수도권#역사#역사공부#역사관광지#역사를품은곳
고덕동 생태경관 보전지역,강동구,1.0,#고덕동생태경관보전지역#관광지#생태체험#수도권#자연#체험
탄천,강남구,1.0,#관광지#자연
우이동계곡,강북구,1.0,#관광지#자연
순정효황후윤씨친가,중구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속
현대원서공원,종로구,1.0,#공원#관광지#도시공원#도심공원#산책하기좋은곳#약속의장소#연인과함께
훈련원공원,중구,1.0,#관광지#산책길#산책하기#산책하기좋은곳#역사공부#역사관광지#역사속
관훈동 민씨 가옥 (구 부마도위박영효가옥),중구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속
보광사(서울),용산구,1.0,#관광지#불교#불교문화#사찰#사찰여행#역사#역사속#역사여행#역사이야기
서빙고동 부군당,용산구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속
삼청동오위장김춘영가옥,중구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속
무궁화동산,종로구,1.0,#공원#관광지#무궁화#무궁화공원#산책길#산책코스#산책하기#산책하기좋은곳
대모산공원,강남구,1.0,#강남#공원#관광지#대모산공원#도심공원#산책길#산책하기#산책하기좋은곳
숭인근린공원,종로구,1.0,#관광지#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로
아시아공원,송파구,1.0,#관광지#근린공원#산책길#산책하기#산책하기좋은곳#서울종합운동장
성덕사,중랑구,1.0,#관광지#불교#불교문화#사찰#사찰여행#역사#자연속으로#자연환경
불국사,강남구,1.0,#관광지#불교#불교문화#불국사#사찰#사찰여행#수도권#역사#역사속
서울 약현성당,중구,1.0,#관광지#교과서속여행#근대문화유산#도심여행#서울약현성당#역사
중명전,중구,1.0,#가족여행#관광지#교과서속여행#근대문화유산#도심여행#상설전시
아쿠아플라넷 63,영등포구,1.0,#가족여행#관광지#데이트코스#도심여행#미세먼지_피하는_실내여행
브릭캠퍼스 서울,성동구,1.0,#가족과함께#관광지#남녀노소#미세먼지_피하는_실내여행#아이가_좋아하는_여행
키자니아 서울,송파구,1.0,##미세먼지_피하는_실내여행#관광지#도심여행#실내여행지#아이가_열광하는_여행
한강시민공원 잠원지구(잠원한강공원),서초구,1.0,#가족여행#관광지#나들이#산책길#산책로#산책하기#산책하기좋은곳
세빛섬,서초구,1.0,#걷기길#경치좋은곳#관광지#나들이#도심여행#서울투어#세빛둥둥섬
한강시민공원 잠실지구(잠실한강공원),송파구,1.0,#걷기길#관광지#나들이#도심여행#수도권#야경투어#연인과함께#자전거여행
반포한강공원,서초구,1.0,#걷기길#관광지#나들이#도심여행#반포한강공원#수도권#야간관광100선
한강시민공원 이촌지구(이촌한강공원),용산구,1.0,#걷기길#관광지#남녀노소#봄나들이#산책코스#산책하기좋은곳#수도권
서울 풍납동 토성,송파구,1.0,#가족여행#관광지#교과서속여행#당일치기여행#서울근교여행#서울풍납동토성
아차산성,광진구,1.0,#가족여행#관광지#교과서속여행#당일치기여행#등산#등산로#서울근교여행
